timestamp,batch_stamp,topic,mode,model,attempts_used,xml_valid,group_count,rect_count,connector_elements_total,overlap_count,error_count,passed,plan_path,svg_path,png_path,failure_type,failure_detail,fatal_error
20260424_155631,20260424_155631,TCP 3-way handshake,v1_direct,openai/gpt-oss-120b,1,True,7,2,4,0,0,True,,svg/tcp_3-way_handshake_20260424_155631_v1_direct.svg,img/tcp_3-way_handshake_20260424_155631_v1_direct.png,,,
20260424_155635,20260424_155631,TCP 3-way handshake,v2_planner,openai/gpt-oss-120b,1,True,6,6,5,0,0,True,reports/tcp_3-way_handshake_20260424_155631_v2_planner_plan.json,svg/tcp_3-way_handshake_20260424_155631_v2_planner.svg,img/tcp_3-way_handshake_20260424_155631_v2_planner.png,,,
20260424_155647,20260424_155631,Transformer architecture,v1_direct,openai/gpt-oss-120b,1,True,7,7,7,0,0,True,,svg/transformer_architecture_20260424_155631_v1_direct.svg,img/transformer_architecture_20260424_155631_v1_direct.png,,,
20260424_155652,20260424_155631,Transformer architecture,v2_planner,openai/gpt-oss-120b,1,True,6,6,5,0,0,True,reports/transformer_architecture_20260424_155631_v2_planner_plan.json,svg/transformer_architecture_20260424_155631_v2_planner.svg,img/transformer_architecture_20260424_155631_v2_planner.png,,,
20260424_155726,20260424_155631,Cell structure,v1_direct,openai/gpt-oss-120b,2,True,7,7,7,0,0,True,,svg/cell_structure_20260424_155631_v1_direct.svg,img/cell_structure_20260424_155631_v1_direct.png,,,
20260424_155832,20260424_155631,Cell structure,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: cell_membrane vs cytoplasm,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: cell_membrane vs cytoplasm
20260424_155832,20260424_155631,DNS resolution flow,v1_direct,openai/gpt-oss-120b,1,True,7,6,6,0,0,True,,svg/dns_resolution_flow_20260424_155631_v1_direct.svg,img/dns_resolution_flow_20260424_155631_v1_direct.png,,,
20260424_155844,20260424_155631,DNS resolution flow,v2_planner,openai/gpt-oss-120b,1,True,12,6,6,0,0,True,reports/dns_resolution_flow_20260424_155631_v2_planner_plan.json,svg/dns_resolution_flow_20260424_155631_v2_planner.svg,img/dns_resolution_flow_20260424_155631_v2_planner.png,,,
20260424_155914,20260424_155631,Photosynthesis process,v1_direct,openai/gpt-oss-120b,1,True,8,8,7,0,0,True,,svg/photosynthesis_process_20260424_155631_v1_direct.svg,img/photosynthesis_process_20260424_155631_v1_direct.png,,,
20260424_160016,20260424_155631,Photosynthesis process,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: light_absorption vs water_splitting; Nodes too close/overlapping: water_splitting vs oxygen_release; Nodes too close/overlapping: oxygen_release vs atp_nadph_production; Nodes too close/overlapping: calvin_cycle vs glucose_synthesis; Nodes too close/overlapping: glucose_synthesis vs starch_storage,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: light_absorption vs water_splitting; Nodes too close/overlapping: water_splitting vs oxygen_release; Nodes too close/overlapping: oxygen_release vs atp_nadph_production; Nodes too close/overlapping: calvin_cycle vs glucose_synthesis; Nodes too close/overlapping: glucose_synthesis vs starch_storage
20260424_160016,20260424_155631,HTTP request lifecycle,v1_direct,openai/gpt-oss-120b,1,True,8,8,7,0,0,True,,svg/http_request_lifecycle_20260424_155631_v1_direct.svg,img/http_request_lifecycle_20260424_155631_v1_direct.png,,,
