timestamp,batch_stamp,topic,mode,model,attempts_used,xml_valid,group_count,rect_count,connector_elements_total,overlap_count,error_count,passed,plan_path,svg_path,png_path,failure_type,failure_detail,fatal_error
20260424_154520,20260424_154520,TCP 3-way handshake,v1_direct,openai/gpt-oss-120b,1,True,6,2,4,0,0,True,,svg/tcp_3-way_handshake_20260424_154520_v1_direct.svg,img/tcp_3-way_handshake_20260424_154520_v1_direct.png,,,
20260424_154533,20260424_154520,TCP 3-way handshake,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: client_syn vs server_syn_ack; Nodes too close/overlapping: client_syn vs connection_termination; Nodes too close/overlapping: server_syn_ack vs client_ack; Nodes too close/overlapping: server_syn_ack vs connection_termination; Nodes too close/overlapping: client_ack vs connection_established; Nodes too close/overlapping: connection_established vs data_transfer,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: client_syn vs server_syn_ack; Nodes too close/overlapping: client_syn vs connection_termination; Nodes too close/overlapping: server_syn_ack vs client_ack; Nodes too close/overlapping: server_syn_ack vs connection_termination; Nodes too close/overlapping: client_ack vs connection_established; Nodes too close/overlapping: connection_established vs data_transfer
20260424_154533,20260424_154520,Transformer architecture,v1_direct,openai/gpt-oss-120b,1,True,7,7,6,0,0,True,,svg/transformer_architecture_20260424_154520_v1_direct.svg,img/transformer_architecture_20260424_154520_v1_direct.png,,,
20260424_154611,20260424_154520,Transformer architecture,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: input_embedding vs positional_encoding; Nodes too close/overlapping: encoder_self_attention vs encoder_feed_forward; Nodes too close/overlapping: decoder_self_attention vs decoder_cross_attention; Nodes too close/overlapping: decoder_cross_attention vs decoder_feed_forward,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: input_embedding vs positional_encoding; Nodes too close/overlapping: encoder_self_attention vs encoder_feed_forward; Nodes too close/overlapping: decoder_self_attention vs decoder_cross_attention; Nodes too close/overlapping: decoder_cross_attention vs decoder_feed_forward
20260424_154611,20260424_154520,Cell structure,v1_direct,openai/gpt-oss-120b,2,True,7,7,6,0,0,True,,svg/cell_structure_20260424_154520_v1_direct.svg,img/cell_structure_20260424_154520_v1_direct.png,,,
20260424_154719,20260424_154520,Cell structure,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: cell_membrane vs cytoplasm; Nodes too close/overlapping: cytoplasm vs nucleus; Nodes too close/overlapping: mitochondria vs endoplasmic_reticulum; Nodes too close/overlapping: ribosome vs golgi_apparatus,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: cell_membrane vs cytoplasm; Nodes too close/overlapping: cytoplasm vs nucleus; Nodes too close/overlapping: mitochondria vs endoplasmic_reticulum; Nodes too close/overlapping: ribosome vs golgi_apparatus
20260424_154719,20260424_154520,DNS resolution flow,v1_direct,openai/gpt-oss-120b,1,True,6,6,6,0,0,True,,svg/dns_resolution_flow_20260424_154520_v1_direct.svg,img/dns_resolution_flow_20260424_154520_v1_direct.png,,,
20260424_154734,20260424_154520,DNS resolution flow,v2_planner,openai/gpt-oss-120b,1,True,12,6,7,0,0,True,reports/dns_resolution_flow_20260424_154520_v2_planner_plan.json,svg/dns_resolution_flow_20260424_154520_v2_planner.svg,img/dns_resolution_flow_20260424_154520_v2_planner.png,,,
20260424_154815,20260424_154520,Photosynthesis process,v1_direct,openai/gpt-oss-120b,1,True,8,8,6,0,0,True,,svg/photosynthesis_process_20260424_154520_v1_direct.svg,img/photosynthesis_process_20260424_154520_v1_direct.png,,,
20260424_154910,20260424_154520,Photosynthesis process,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: light_absorption vs water_splitting; Nodes too close/overlapping: water_splitting vs oxygen_release; Nodes too close/overlapping: oxygen_release vs atp_nadph_production; Nodes too close/overlapping: calvin_cycle vs glucose_synthesis; Nodes too close/overlapping: glucose_synthesis vs starch_storage,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: light_absorption vs water_splitting; Nodes too close/overlapping: water_splitting vs oxygen_release; Nodes too close/overlapping: oxygen_release vs atp_nadph_production; Nodes too close/overlapping: calvin_cycle vs glucose_synthesis; Nodes too close/overlapping: glucose_synthesis vs starch_storage
