timestamp,batch_stamp,topic,mode,model,attempts_used,xml_valid,group_count,rect_count,connector_elements_total,overlap_count,error_count,passed,plan_path,svg_path,png_path,failure_type,failure_detail,fatal_error
20260424_165303,20260424_165303,TCP 3-way handshake,v1_direct,openai/gpt-oss-120b,1,True,8,3,5,0,0,True,,svg/tcp_3-way_handshake_20260424_165303_v1_direct.svg,img/tcp_3-way_handshake_20260424_165303_v1_direct.png,,,
20260424_165505,20260424_165303,TCP 3-way handshake,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: client_send_syn vs server_receive_syn; Nodes too close/overlapping: server_receive_syn vs server_send_synack; Nodes too close/overlapping: server_send_synack vs client_receive_synack; Nodes too close/overlapping: client_receive_synack vs client_send_ack; Nodes too close/overlapping: client_send_ack vs connection_established,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: client_send_syn vs server_receive_syn; Nodes too close/overlapping: server_receive_syn vs server_send_synack; Nodes too close/overlapping: server_send_synack vs client_receive_synack; Nodes too close/overlapping: client_receive_synack vs client_send_ack; Nodes too close/overlapping: client_send_ack vs connection_established
20260424_165505,20260424_165303,Transformer architecture,v1_direct,openai/gpt-oss-120b,2,True,7,5,5,0,0,True,,svg/transformer_architecture_20260424_165303_v1_direct.svg,img/transformer_architecture_20260424_165303_v1_direct.png,,,
20260424_172643,20260424_165303,Transformer architecture,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: input_embedding vs positional_encoding; Nodes too close/overlapping: positional_encoding vs encoder_self_attention; Nodes too close/overlapping: encoder_self_attention vs add_norm_1; Nodes too close/overlapping: add_norm_1 vs encoder_feed_forward; Nodes too close/overlapping: encoder_feed_forward vs add_norm_2; Nodes too close/overlapping: add_norm_2 vs encoder_output,Planner failed after 3 tries: Invalid plan: Nodes too close/overlapping: input_embedding vs positional_encoding; Nodes too close/overlapping: positional_encoding vs encoder_self_attention; Nodes too close/overlapping: encoder_self_attention vs add_norm_1; Nodes too close/overlapping: add_norm_1 vs encoder_feed_forward; Nodes too close/overlapping: encoder_feed_forward vs add_norm_2; Nodes too close/overlapping: add_norm_2 vs encoder_output
20260424_172643,20260424_165303,Cell structure,v1_direct,openai/gpt-oss-120b,1,True,6,2,4,0,0,True,,svg/cell_structure_20260424_165303_v1_direct.svg,img/cell_structure_20260424_165303_v1_direct.png,,,
