timestamp,batch_stamp,topic,mode,model,attempts_used,xml_valid,group_count,rect_count,connector_elements_total,overlap_count,error_count,passed,plan_path,svg_path,png_path
20260424_121941,20260424_121941,TCP 3-way handshake,v1_direct,openai/gpt-oss-120b,1,True,6,3,4,0,0,True,,svg/tcp_3-way_handshake_20260424_121941_v1_direct.svg,img/tcp_3-way_handshake_20260424_121941_v1_direct.png
20260424_121944,20260424_121941,TCP 3-way handshake,v2_planner,openai/gpt-oss-120b,1,True,6,6,5,0,0,True,reports/tcp_3-way_handshake_20260424_121941_v2_planner_plan.json,svg/tcp_3-way_handshake_20260424_121941_v2_planner.svg,img/tcp_3-way_handshake_20260424_121941_v2_planner.png
20260424_121952,20260424_121941,Transformer architecture,v1_direct,openai/gpt-oss-120b,2,True,6,6,5,0,0,True,,svg/transformer_architecture_20260424_121941_v1_direct.svg,img/transformer_architecture_20260424_121941_v1_direct.png
