timestamp,batch_stamp,topic,mode,model,attempts_used,xml_valid,group_count,rect_count,connector_elements_total,overlap_count,error_count,passed,plan_path,svg_path,png_path,failure_type,failure_detail,fatal_error
20260425_115306,20260425_115306,TCP 3-way handshake,v1_direct,openai/gpt-oss-120b,2,True,6,2,3,0,0,True,,svg/tcp_3-way_handshake_20260425_115306_v1_direct.svg,img/tcp_3-way_handshake_20260425_115306_v1_direct.png,,,
20260425_115312,20260425_115306,TCP 3-way handshake,v2_planner,openai/gpt-oss-120b,1,True,11,6,6,0,0,True,reports/tcp_3-way_handshake_20260425_115306_v2_planner_plan.json,svg/tcp_3-way_handshake_20260425_115306_v2_planner.svg,img/tcp_3-way_handshake_20260425_115306_v2_planner.png,,,
20260425_115322,20260425_115306,Transformer architecture,v1_direct,openai/gpt-oss-120b,2,True,8,8,7,0,0,True,,svg/transformer_architecture_20260425_115306_v1_direct.svg,img/transformer_architecture_20260425_115306_v1_direct.png,,,
20260425_115342,20260425_115306,Transformer architecture,v2_planner,openai/gpt-oss-120b,2,True,7,7,6,0,0,True,reports/transformer_architecture_20260425_115306_v2_planner_plan_attempt_2.json,svg/transformer_architecture_20260425_115306_v2_planner.svg,img/transformer_architecture_20260425_115306_v2_planner.png,,,
20260425_115447,20260425_115306,Cell structure,v1_direct,openai/gpt-oss-120b,5,True,6,5,4,0,0,True,,svg/cell_structure_20260425_115306_v1_direct.svg,img/cell_structure_20260425_115306_v1_direct.png,,,
20260425_115618,20260425_115306,Cell structure,v2_planner,openai/gpt-oss-120b,1,True,7,7,6,0,0,True,reports/cell_structure_20260425_115306_v2_planner_plan.json,svg/cell_structure_20260425_115306_v2_planner.svg,img/cell_structure_20260425_115306_v2_planner.png,,,
20260425_115644,20260425_115306,DNS resolution flow,v1_direct,openai/gpt-oss-120b,2,True,6,6,5,0,0,True,,svg/dns_resolution_flow_20260425_115306_v1_direct.svg,img/dns_resolution_flow_20260425_115306_v1_direct.png,,,
20260425_115718,20260425_115306,DNS resolution flow,v2_planner,openai/gpt-oss-120b,1,True,8,7,7,0,0,True,reports/dns_resolution_flow_20260425_115306_v2_planner_plan.json,svg/dns_resolution_flow_20260425_115306_v2_planner.svg,img/dns_resolution_flow_20260425_115306_v2_planner.png,,,
20260425_115752,20260425_115306,Photosynthesis process,v1_direct,openai/gpt-oss-120b,2,True,6,6,4,0,0,True,,svg/photosynthesis_process_20260425_115306_v1_direct.svg,img/photosynthesis_process_20260425_115306_v1_direct.png,,,
20260425_115827,20260425_115306,Photosynthesis process,v2_planner,openai/gpt-oss-120b,1,True,7,6,5,0,0,True,reports/photosynthesis_process_20260425_115306_v2_planner_plan.json,svg/photosynthesis_process_20260425_115306_v2_planner.svg,img/photosynthesis_process_20260425_115306_v2_planner.png,,,
20260425_115900,20260425_115306,HTTP request lifecycle,v1_direct,openai/gpt-oss-120b,1,True,6,6,5,0,0,True,,svg/http_request_lifecycle_20260425_115306_v1_direct.svg,img/http_request_lifecycle_20260425_115306_v1_direct.png,,,
20260425_115915,20260425_115306,HTTP request lifecycle,v2_planner,openai/gpt-oss-120b,1,True,8,8,7,0,0,True,reports/http_request_lifecycle_20260425_115306_v2_planner_plan.json,svg/http_request_lifecycle_20260425_115306_v2_planner.svg,img/http_request_lifecycle_20260425_115306_v2_planner.png,,,
20260425_115948,20260425_115306,Neural network forward pass,v1_direct,openai/gpt-oss-120b,1,True,6,3,3,0,0,True,,svg/neural_network_forward_pass_20260425_115306_v1_direct.svg,img/neural_network_forward_pass_20260425_115306_v1_direct.png,,,
20260425_120007,20260425_115306,Neural network forward pass,v2_planner,openai/gpt-oss-120b,1,True,11,6,5,0,0,True,reports/neural_network_forward_pass_20260425_115306_v2_planner_plan.json,svg/neural_network_forward_pass_20260425_115306_v2_planner.svg,img/neural_network_forward_pass_20260425_115306_v2_planner.png,,,
20260425_120039,20260425_115306,CPU memory hierarchy,v1_direct,openai/gpt-oss-120b,1,True,6,6,5,0,0,True,,svg/cpu_memory_hierarchy_20260425_115306_v1_direct.svg,img/cpu_memory_hierarchy_20260425_115306_v1_direct.png,,,
20260425_120055,20260425_115306,CPU memory hierarchy,v2_planner,openai/gpt-oss-120b,1,True,11,6,5,0,0,True,reports/cpu_memory_hierarchy_20260425_115306_v2_planner_plan.json,svg/cpu_memory_hierarchy_20260425_115306_v2_planner.svg,img/cpu_memory_hierarchy_20260425_115306_v2_planner.png,,,
20260425_120120,20260425_115306,Kubernetes pod lifecycle,v1_direct,openai/gpt-oss-120b,2,True,6,6,6,0,0,True,,svg/kubernetes_pod_lifecycle_20260425_115306_v1_direct.svg,img/kubernetes_pod_lifecycle_20260425_115306_v1_direct.png,,,
20260425_120152,20260425_115306,Kubernetes pod lifecycle,v2_planner,openai/gpt-oss-120b,1,True,12,6,6,0,0,True,reports/kubernetes_pod_lifecycle_20260425_115306_v2_planner_plan.json,svg/kubernetes_pod_lifecycle_20260425_115306_v2_planner.svg,img/kubernetes_pod_lifecycle_20260425_115306_v2_planner.png,,,
20260425_120222,20260425_115306,Blockchain transaction flow,v1_direct,openai/gpt-oss-120b,1,True,6,6,5,0,0,True,,svg/blockchain_transaction_flow_20260425_115306_v1_direct.svg,img/blockchain_transaction_flow_20260425_115306_v1_direct.png,,,
20260425_120236,20260425_115306,Blockchain transaction flow,v2_planner,openai/gpt-oss-120b,1,True,6,6,6,0,0,True,reports/blockchain_transaction_flow_20260425_115306_v2_planner_plan.json,svg/blockchain_transaction_flow_20260425_115306_v2_planner.svg,img/blockchain_transaction_flow_20260425_115306_v2_planner.png,,,
