timestamp,batch_stamp,topic,mode,model,attempts_used,xml_valid,group_count,rect_count,connector_elements_total,overlap_count,error_count,passed,plan_path,svg_path,png_path,failure_type,failure_detail,fatal_error
20260425_074430,20260425_074430,TCP 3-way handshake,v1_direct,openai/gpt-oss-120b,1,True,6,2,4,0,0,True,,svg/tcp_3-way_handshake_20260425_074430_v1_direct.svg,img/tcp_3-way_handshake_20260425_074430_v1_direct.png,,,
20260425_074433,20260425_074430,TCP 3-way handshake,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat',Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat'
20260425_074433,20260425_074430,Transformer architecture,v1_direct,openai/gpt-oss-120b,3,True,6,6,6,0,0,True,,svg/transformer_architecture_20260425_074430_v1_direct.svg,img/transformer_architecture_20260425_074430_v1_direct.png,,,
20260425_074448,20260425_074430,Transformer architecture,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat',Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat'
20260425_074448,20260425_074430,Cell structure,v1_direct,openai/gpt-oss-120b,2,True,6,5,4,0,0,True,,svg/cell_structure_20260425_074430_v1_direct.svg,img/cell_structure_20260425_074430_v1_direct.png,,,
20260425_074521,20260425_074430,Cell structure,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat',Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat'
20260425_074521,20260425_074430,DNS resolution flow,v1_direct,openai/gpt-oss-120b,1,True,7,6,7,0,0,True,,svg/dns_resolution_flow_20260425_074430_v1_direct.svg,img/dns_resolution_flow_20260425_074430_v1_direct.png,,,
20260425_074540,20260425_074430,DNS resolution flow,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat',Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat'
20260425_074540,20260425_074430,Photosynthesis process,v1_direct,openai/gpt-oss-120b,1,True,11,4,6,0,0,True,,svg/photosynthesis_process_20260425_074430_v1_direct.svg,img/photosynthesis_process_20260425_074430_v1_direct.png,,,
20260425_074558,20260425_074430,Photosynthesis process,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat',Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat'
20260425_074558,20260425_074430,HTTP request lifecycle,v1_direct,openai/gpt-oss-120b,1,True,8,8,8,0,0,True,,svg/http_request_lifecycle_20260425_074430_v1_direct.svg,img/http_request_lifecycle_20260425_074430_v1_direct.png,,,
20260425_074616,20260425_074430,HTTP request lifecycle,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat',Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat'
20260425_074616,20260425_074430,Neural network forward pass,v1_direct,openai/gpt-oss-120b,1,True,7,0,26,0,0,True,,svg/neural_network_forward_pass_20260425_074430_v1_direct.svg,img/neural_network_forward_pass_20260425_074430_v1_direct.png,,,
20260425_074641,20260425_074430,Neural network forward pass,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat',Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat'
20260425_074641,20260425_074430,CPU memory hierarchy,v1_direct,openai/gpt-oss-120b,1,True,7,7,6,0,0,True,,svg/cpu_memory_hierarchy_20260425_074430_v1_direct.svg,img/cpu_memory_hierarchy_20260425_074430_v1_direct.png,,,
20260425_074700,20260425_074430,CPU memory hierarchy,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat',Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat'
20260425_074700,20260425_074430,Kubernetes pod lifecycle,v1_direct,openai/gpt-oss-120b,1,True,6,6,5,0,0,True,,svg/kubernetes_pod_lifecycle_20260425_074430_v1_direct.svg,img/kubernetes_pod_lifecycle_20260425_074430_v1_direct.png,,,
20260425_074714,20260425_074430,Kubernetes pod lifecycle,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat',Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat'
20260425_074714,20260425_074430,Blockchain transaction flow,v1_direct,openai/gpt-oss-120b,1,True,6,6,5,0,0,True,,svg/blockchain_transaction_flow_20260425_074430_v1_direct.svg,img/blockchain_transaction_flow_20260425_074430_v1_direct.png,,,
20260425_074730,20260425_074430,Blockchain transaction flow,v2_planner,openai/gpt-oss-120b,0,False,0,0,0,0,1,False,,,,planner_invalid,Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat',Planner failed after 3 tries: 'GroqClientPool' object has no attribute 'chat'
